ome;frfe
150,4;1,86845
150,5;1,87948
150,6;1,89062
150,7;1,90156
150,8;1,91271
150,9;1,9235
151;1,93462
151,1;1,94565
151,2;1,95688
151,3;1,96877
151,4;1,98093
151,5;1,99285
151,6;2,00541
151,7;2,01871
151,8;2,03234
151,9;2,04595
152;2,05969
152,1;2,07328
152,2;2,08674
152,3;2,10155
152,4;2,11679
152,5;2,13158
152,6;2,14534
152,7;2,15886
152,8;2,17275
152,9;2,18754
153;2,20258
153,1;2,21751
153,2;2,23296
153,3;2,24927
153,4;2,26549
153,5;2,28235
153,6;2,29904
153,7;2,31655
153,8;2,33549
153,9;2,35522
154;2,3753
154,1;2,39553
154,2;2,41637
154,3;2,43803
154,4;2,45998
154,5;2,48243
154,6;2,50485
154,7;2,52749
154,8;2,55052
154,9;2,57413
155;2,59808
155,1;2,62113
155,2;2,64412
155,3;2,66791
155,4;2,69291
155,5;2,71813
155,6;2,74271
155,7;2,76706
155,8;2,79246
155,9;2,81913
156;2,84688
156,1;2,87495
156,2;2,90345
156,3;2,93239
156,4;2,96291
156,5;2,99492
156,6;3,02754
156,7;3,06054
156,8;3,09451
156,9;3,12957
157;3,16509
157,1;3,20166
157,2;3,23745
157,3;3,27396
157,4;3,31215
157,5;3,35122
